Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Category/Function Tags,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?
Sense,https://sense.com,"Boston, MA, USA",United States 🇺🇸,2013,85,"Homeowners, utilities, IoT partners","Granular, AI-based home energy insights—partners with utilities","Residential GTM cycle, home energy competition",AEC/BIM,Operation/Maintenance,AEC/BIM,Home Energy Analytics,Residential Energy AI,Analytics,"HW plus SW,B2B,B2C,Platform,cloud-native,enterprise,SMB","Edge AI,AI automation,Device/Network Agnostic,Real-Time Monitoring,AI Enabled Platform,strong edge performance",Construction,General Contractors,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Scaleup Expanders,Series C,Expansion Stage,2022,$105000000.0,$80000000.0,$30000000.0,$260000000.0,"VC/PE, IoT hardware margin","Blue Earth Capital, TELUS Ventures, MCJ Collective, Schneider Electric, Energy Impact Partners, Prelude Ventures, iRobot, Volery Capital Partners, Gutbrain Ventures, Japan Energy Fund, MacKinnon, Bennett & Company, SE Ventures, Shell Ventures, CRV, Capricorn Investment Group, Landis+Gyr, Kayode Akinola, Emanuel Citron, Yohei Kiguchi, Hans Kobler, Joshua Posamentier, Lindsay Luger, Dave Grannan",3.8,Home energy savings+decarbonization essential—a growing market,4.1,"IoT, hardware, SaaS balanced skills, strong team",3.7,Device-native ML with full stack integration,4.0,"Efficient HW/SaaS capital, expanding consumer channel",3.5,Hardware and install base up YoY,4.2,"Saves real energy, verified in field",3.5,"Device+ML bundle moat, utility/consumer scale risk",3.87,"Mike Phillips
",,
BIMLOGIQ,https://bimlogiq.com,"Sydney, NSW, Australia",Australia 🇦🇺,2018,5,"AEC firms, consultants",Focused on modular/construction workflow BIM,"Small team, regional focus",AEC/BIM,Design,AEC/BIM,"BIM integration, workflow",AEC Modular construction,"BIM data and rules engine,Construction Platform,Project management,AEC CAD,Construction planning,Progress tracking,Construction Ops","Platform,SaaS,B2B,Industry-specific,enterprise,Cloud,Software,Subscription","modular toolbox,Rules driven data quality in BIM,Workflow Efficiency,process integrity,Workflow Automation,Domain-specific workflows and templates",Construction,"Architecture,General Contractors",Bleeding Edge BIM (AEC/BIM),AI-Native BIM Data & Collaboration Platforms,Startup Raisers,Bootstrapped,Bootstrapped,2023,$0.0,$1000000.0,$2000000.0,$10000000.0,"Niche BIM analytics/ops tool in your universe; no visible rounds, so seed/pre‑A range.","Boab,Venture Store",3.2,"Early-stage, local market, high expertise",3.3,Founders are industry insiders,3.5,Tech differentiation low but unique for modular,4.0,"Very efficient, but small scale",3.3,"Users in Australia, limited traction",3.5,Helps increase BIM adoption in modular workflow,3.3,"BIMLOGIQ positions itself as a digital construction management platform leveraging BIM and AI to optimize project delivery (About, Product pages, July 2025), but similar BIM-driven project management solutions exist (e.g., Procore, Autodesk Construction Cloud), and there is no public evidence of unique IP, patented technology, or exclusive partnerships as of December 21, 2025.",3.45,Amir Dezfouli,,
QuotationFactory,https://www.quotationfactory.com,"Eindhoven, NL",Netherlands 🇳🇱,2018,12,50 plus metalworking manufacturers,Automates quoting and estimation for metal parts reducing lead time and error,Niche focus may limit global reach,Manufacturing quoting automation,Manufacture,CAM/CIM/CNC,Quoting and estimation software,Manufacturing quoting software,"Manufacturing Productivity,Quoting,Estimation","SaaS,Subscription,B2B,Plugins for CAM Software,Software,Product-led growth,cloud-native","Fast RFQ workflows,Feature Recognition,Instant Quote Workflow,Automated Process Flow Mapping,Manufacturing Focus Models",Discrete Manufacturing,"Contract Manufacturing,Metalworking","Adaptive Manufacturing (AM, CAM, CNC)",Design-for-Manufacturing & Quoting,Startup Raisers,Seed,Seed Stage,2021,$1500000.0,$1500000.0,$1000000.0,$10000000.0,Niche CPQ/quoting for machining/fabrication; likely a small vertical SaaS with modest ARR.,BOM Rabobank Dutch development fund,4.1,High market need for quoting automation,4.0,Experienced founders with strong domain knowledge,3.9,Automatic CAD feature extraction differentiates,3.8,Lean operations efficient use of capital,3.7,Customer base expansion visible on LinkedIn,4.0,Improves manufacturing quoting speed and consistency,3.6,Subscription model builds mild defensibility,3.92,Wim Dijkgraaf*,,checked
Designair,https://www.designair.io/,"Berlin, Germany",Germany 🇩🇪,2022,25,"Architecture, Engineering, Construction firms","Desktop-as-a-Service (DaaS) platform optimized for CAD/BIM. Runs all CAD/BIM from the cloud, enabling cost-efficient collaboration and scalability","Nascent market for cloud desktop, needs scale",AEC/BIM,Design,Concept Modeling,CAD/BIM virtual desktops,Workstation SaaS,Collaboration and performance,"cloud-native,SaaS,cloud,Platform,Usage-based,B2B,Subscription,Cloud SaaS,Software","Real Time Browser CAD,High-performance 3D streaming,cloud-native workflow,Browser Native Viewer,Real-time collaboration,Cloud-native Simulation,Fast concept-to-manufacturing loop",Construction,Architecture,Bleeding Edge BIM (AEC/BIM),AI-Native BIM Data & Collaboration Platforms,Startup Raisers,Seed,Seed Stage,2023,$2000000.0,$2000000.0,$1000000.0,$10000000.0,Early AEC/MEP or design‑automation outfit; seed/pre‑A band.,Bootstrapped,4.3,Cloud-native desktop solution for CAD/BIM addressing hardware cost inefficiency,4.2,"Strong advisory board, traction in AEC sector",4.5,"Near real-time 4K streaming on any device, pay-per-use",4.3,Lean capital model fits SaaS speed,4.1,"Early AEC client growth, platform launches",4.3,"Direct impact on cost, IT flexibility for SMEs/enterprises",4.0,"First-mover advantage, but some competition emerging",4.29,"Don Rekko (CEO) **
Roland Riedel (Advisory)","Already spoke, need a pair",checked
Spendkey,https://www.spendkey.io,"London, UK",United Kingdom 🇬🇧,2020,17,"Retail, energy corporates",AI-driven spend analytics,"Focused on analytics, expanding to full procurement soon",Spend Management,Procurement,Supplier / Compliance,Spend analytics automation,Spend Analytics,Procurement SaaS,"SaaS,B2B,Subscription,enterprise,SMB,Software,Platform","AI-powered data automation,Proprietary Models,Domain Specific Analytics Engine,Workflow Automation,Operational Optimization",Discrete Manufacturing,Industrial Equipment,Streamlined Supply Chain (SCM),"Control, Spend & FinOps for Supply",Startup Raisers,Seed,Seed Stage,2024,$2000000.0,$3500000.0,$1000000.0,$10000000.0,"Early procurement/spend‑analytics startup; little disclosed funding, so conservative seed‑stage band.",Bootstrapped,4.2,Enables deep spend insights and optimization for procurement teams,4.1,Seasoned analytics founders,4.3,AI-powered spend categorization and dashboard,4.2,Efficient deployment of raised capital,4.1,Steady B2B growth and pilot expansion,4.2,Procurement impact via cost savings,3.9,Proprietary categorization engine,4.18,Tina Ferguson,,
DivergenceAI,https://www.divergenceai.xyz,"San Francisco, CA, USA",United States 🇺🇸,2024,2,N A,Automation around Physical AI for RF design,Very early start startup,CAE,Simulate,Simulation Loop,RF Design & Simulation Workflow,Engineering AI,"RF Modeling,Engineering AI,Workflow Automation","Software,B2B,cloud-native,Platform,enterprise,SMB","Physical AI + Scientific AI,AI for R&D,Simulation-Driven Design,Physics Informed AI,Physics Grounded ML",Discrete Manufacturing,"Industrial Equipment,Aerospace & Defense,Automotive,High Tech & Electronics","Extreme Analysis (CAE, CFD, FEA, QC)",Simulation-Centric Digital Twins,Startup Raisers,Bootstrapped,Bootstrapped,2024,$0.0,$0.0,$0.0,$4000000.0,"Early applied‑AI shop; modest disclosed traction, seed‑stage band.",Bootstrapped,4.2,AI tools demand rising,4.4,Unproven team,4.3,Hypothetical differentiation,4.3,Zero funding → lean,3.7,No visible adoption,3.6,Potential but speculative,3.8,"No evidence of moat, early stage",4.15,Gustavo Novarro*,,checked
Flow Software,https://www.flow-software.com,"Austin, TX, USA",United States 🇺🇸,2015,50,Manufacturers Enterprise operations,KPI analytics calculation engine for manufacturing,Competes with big analytics suites,Industrial AI analytics,Manufacture,MES / Factory Execution,Industrial Analytics,Manufacturing analytics,"Manufacturing Analytics,Factory Operations,Analytics,Manufacturing software",SaaS,,"Discrete Manufacturing,Process Industries","Industrial Equipment,Automotive","Factory Futures (MES, IIOT)",Factory Intelligence & Asset Analytics,Startup Raisers,Series A,Growth Stage,2015,$6000000.0,$6000000.0,$6000000.0,$30000000.0,"Industrial/ETL integration vendor (depending on which Flow you track); multiple enterprise customers, but funding limited, so more of a cash‑flow ISV than a rocket.",Bootstrapped,4.5,Robust KPI calculation for factory ops,4.1,Analytics team with industry experience,3.7,Purpose-built calculation engine,4.3,Efficient funding to growth stage,3.6,Market-wide analytics demand,4.4,Recognized platform in analytics space,4.2,Analytics factory ops niche,4.12,Jeff Knepper*,Need to contact,checked
Pivot,https://pivotapp.ai,"Paris, France",France 🇫🇷,2023,14,Multiple EU mid-market clients,"All-in-one vendor sourcing, spend analytics, contract management","Brand new, still scaling",AI supply chain,Procurement,Supplier / Compliance,Vendor sourcing and intake,Procurement SaaS,Procurement SaaS,"SaaS,B2B,Platform,enterprise,SMB,Subscription,Product-led growth,Software","Workflow Efficiency,ERP Integration,Simple UX,OCR,Strong Integrations,Vendor-neutral","Discrete Manufacturing,Process Industries",Industrial Equipment,Streamlined Supply Chain (SCM),AI-Native SCM Orchestration & Automation,Startup Raisers,Series A,Early Stage,2025,$5000000.0,$5000000.0,$1000000.0,$10000000.0,Small planning/ops or design‑collab vendor in your universe; generic early‑stage range.,Bootstrapped,4.2,Streamlines procurement cycle for EU mid-market with strong user experience,4.0,Small but dynamic French team,4.2,"Intuitive UI, strong ERP integrations, OCR AI for invoices",4.1,"Efficient pilot spend, strong early ratios",4.1,"Accelerating client pipeline, G2 5/5 rating",4.2,Workflow productivity and compliance impact,3.9,UX/product differentiation,4.12,"Estelle Giuly (CTO)
Marc-Antoine Lacroix
Romain Libeau",,
Vendra,https://vendraai.com,"London, UK",United Kingdom 🇬🇧,2025,2,Early pilot customers for VendraCRM,AI-first extensible CRM full agentic stack cloud secure architecture,Very early company minimal team limited case studies,CRM,Design,Concept Modeling,AI Autonomous CRM,AI CRM,,"SaaS,cloud-native,cloud,Platform,B2B,Subscription,Product-led growth,enterprise,SMB,Software","AI-first,Agentic automation,AI automation,AI platform,Agentic AI,AI Enabled Platform,Fullstack AI Plus Simulation",Discrete Manufacturing,Academia,Design Intelligence (CAD),Engineering Copilots & Automation,Startup Raisers,Bootstrapped,Bootstrapped,2025,$0.0,$8900000.0,$1000000.0,$5000000.0,Early vendor‑marketplace or procurement app; no solid external data.,Bootstrapped,4.8,Massive AI automation for service orgs,4.5,Founder solo built agentic tech MVP,3.8,Best-in-class orchestration stack cloud secure by design,3.9,No funding risk is very high,3.0,Too early for real growth traction,4.0,Tech radical but needs strong go-to-market; Massive TAM but currently unproven value,4.0,Massive TAM but currently unproven value,4.10,"Shan Mohta (CEO)
Noah Chadwick",N/A,
Acceleer,https://acceleer.com/#/,"Brussels, Belgium",Belgium 🇧🇪,2024,4,industrial/process-manufacturing / automation projects,Founder deep MES/process automation/food & pharma experience (ex-Actemium) focuses on Design-Ops for process industries targets untapped SaaS opportunity,Stealth/preview product in limited customer validation no disclosed funding,Factory AI/Automation,Manufacture,Digital Twin Sync,DesignOps Process Automation,Process Industry Automation,"Process Design,Automation Specification","SaaS,cloud-native,B2B,Industry-specific,Platform,Subscription,enterprise,Vertical SaaS","Design-Ops,production software,Process Automation,MES & MOM,Founder industrial background,Workflow Automation,Deep Domain Expertise",Process Industries,"Pharma,Food & Beverage,Chemicals,Regulated Industries","Factory Futures (MES, IIOT)",Sector‑Specific Factory Platforms,Startup Raisers,Bootstrapped,Bootstrapped,2024,$0.0,$0.0,$1000000.0,$10000000.0,Founder-bootstrapped new as of 2024 no funding rounds as of Sep 2025 Early design/preview with industry connections team under 10,Bootstrapped,4.0,Huge SaaS gap in process manufacturing pre-digital/DevOps for MES,4.2,Founder with 20+ years of MES/automation leadership Actemium legacy,4.3,Design-Ops for MES is novel combining DevOps + process design,3.9,Bootstrapped validation single-founder model no salaries,3.5,New launch limited uptake yet but clear industrial connections,4.1,Potential for leap forward in SaaS MES for process sectors high expertise,4.0,Process automation + DevOps fusion with deep founder expertise and industry ties,4.05,Davy Demeyer*,"Great talk, need to organize webcast",checked
Rhize Manufacturing Hub,https://rhize.com,"Minneaopolis, MN, USA",United States 🇺🇸,2020,25,"Moderna, BlueScope, Richemont, Andersen Windows","Manufacturing data hub (ISA-95) with real-time event-driven digital thread, enforces data standards and headless integration ","Enterprise-focused, new approach to data architecture",MES,Manufacture,MES / Factory Execution,Industrial data platform (digital twin),ISA-95 knowledge graph,"Supply chain sustainability,Analytics,Traceability,MES,Unified Namespace,MOM,Data Hub,AI for Industry 4.0,AI Enabler","cloud-native,SaaS,cloud,Platform,B2B,Vertical SaaS,Industry-specific,enterprise,Cloud SaaS,Platform Play,Enterprise SaaS","Single-source-of-truth,real-time integration,AI automation,production software,Digital Twins,Workflow Automation,Factory Automation Stack,cloud-native workflow,End To End Workflow,Unified Data Layer,Vertical workflow automation,AI-driven design generation,Real Time Analysis,Manufacturing Focus Models","Discrete Manufacturing,Process Industries","Life Sciences,Food & Beverage,CPG,Luxury Goods,Automotive,Aerospace & Defense,Consumer Goods","Factory Futures (MES, IIOT)",Industrial Data Infrastructure & IIoT Connectivity,Startup Raisers,Seed,Seed Stage,2020,$1500000.0,$2100000.0,$4000000.0,$40000000.0,"Hedge fund managers and founder's investments, HNIs (high net worth individual)",Bootstrapped,4.3,"Rhize Manufacturing Hub provides digital manufacturing solutions, targeting the global smart manufacturing and Industry 4.0 sector. According to MarketsandMarkets, the smart manufacturing market is projected to reach $228.2 billion by 2027, growing at a CAGR of over 12% (MarketsandMarkets, 2023). Rhize’s focus on digital transformation for manufacturing positions it within this large and rapidly expanding market.",3.7,"Rhize’s leadership includes co-founder/CEO Michael B. Johnson, previously CTO at Pixar, bringing deep technical and operational expertise. The team features experienced engineers and manufacturing professionals with backgrounds at Apple, Tesla, and Flex. Notable advisors include industry veterans from GE and Autodesk. Rhize has announced partnerships with leading robotics and automation firms and secured investment from prominent VCs such as Lux Capital. Product milestones include the launch of their modular manufacturing platform in 2025 and pilot deployments with Fortune 500 manufacturers, indicating strong execution and early market traction.",4.1,"Rhize Manufacturing Hub offers a cloud-based platform for distributed manufacturing, featuring proprietary workflow automation and real-time production tracking (see Product and Technology pages, 2025). The company highlights its integration of AI-driven supply chain optimization and digital twin technology, but there is no evidence of granted patents or fundamentally novel hardware; differentiation appears to center on platform integration and process automation rather than unique core technology. Industry coverage (Manufacturing.net, Oct 2025) notes Rhize’s streamlined UX and interoperability as key advantages, but does not cite breakthrough technical innovation.",4.1,"No public funding efficiency data found as of January 14, 2026.",3.0,"No public growth/adoption evidence found as of January 29, 2026.",4.3,"Rhize has demonstrated moderate industry impact over the past 24 months. The company is featured in several industry news articles and has published case studies highlighting partnerships with organizations such as the World Bank and the Obama Foundation. Rhize’s programs have been recognized for supporting grassroots leadership and civic engagement globally, but there is limited evidence of widespread sector adoption or major analyst benchmarks. No major industry awards or sector-standard recognitions have been reported. Thus, the score reflects solid adoption and notable partnerships, but Rhize is not yet established as a sector standard.",4.5,"Rhize positions itself as a vertically integrated manufacturing platform combining proprietary software, robotics, and AI-driven automation to enable rapid, flexible, and localized production (About, Technology, and Product pages, accessed July 2025). The company highlights its unique “factory-as-a-service” model, in-house developed automation stack, and exclusive partnerships with major brands for pilot deployments, which are not widely replicated by traditional contract manufacturers or digital manufacturing platforms (TechCrunch, March 2025; Rhize News, April 2025).",3.99,"Kirt Anderson*
Geoff Nunan*
Mick Bucknell (CEO) *",Talked to Mick. Need to schedule call,checked
Data Time Space,https://datatime.space/,"London, UK",United Kingdom 🇬🇧,2024,7,"EPC, manufacturing R&D",Time series AI platform for production and R&D data. AI-powered platform for time series production data analytics in EPC/manufacturing,"Pre-revenue, needs expanded use cases",Industrial AI analytics,Manufacture,MES / Factory Execution,Time-series ML platform,Factory Data,,"SaaS,cloud-native,Platform,B2B,enterprise,Industry-specific,Subscription,Software","Unified Industrial Time Series Layer,AI platform,Real Time Analysis,Industrial AI templates,AI automation,connect/integrate/analyze anywhere,Operational Optimization",Process Industries,"Oil & Gas,Food & Beverage","Factory Futures (MES, IIOT)",Industrial Data Infrastructure & IIoT Connectivity,Startup Raisers,Seed,Seed Stage,2025,$1100000.0,$2000000.0,$1000000.0,$10000000.0,Very early data/analytics tooling company; pre‑A.,Bootstrapped,4.0,Addresses growing need for industrial time-series ML data analytics,3.8,"Small technical team, AI+data science",4.2,Focused time-series modeling and predictive engine,4.0,"Lean spend, but still winning pilots",3.9,"Early growth, small pipeline",4.0,Unlocks data value for R&D and production teams,3.8,"ML platform IP, integrations",3.98,Owen Cross,,
COSMON,https://www.cosmon.com/,"San Francisco, CA, USA",United States 🇺🇸,2024,20,No public customers,AI copilot for engineering design and simulation,Early stage with limited traction,Engineering AI copilot,Design,Concept Modeling,AI for CAD CAE workflows,Engineering productivity,"Design Intelligence,Engineering Productivity","B2B SaaS,Platform,API-first,enterprise,Cloud,Product-led growth","AI for systems engineering,Fine-Tuned Models,AI-native CAD workflow,Integration with existing engineering tools,Simulation LLMs,AI platform,Six-stage ML",Discrete Manufacturing,"Automotive,Aerospace & Defense",Design Intelligence (CAD),Engineering Copilots & Automation,Startup Raisers,Pre-Seed,Pre-Seed Stage,2025,$0.0,$0.0,$2000000.0,$30000000.0,Early simulation/ops tool; no hard public numbers yet.,Bootstrapped,4.2,AI design tools market expanding rapidly,4.3,Small founding team in early growth,4.3,Fine-tuned LLM for simulation workflow,3.2,Low capital requirement at seed phase,3.4,Beta tests underway with pilot customers,4.0,Potential to reduce design iteration times,3.7,Integration into existing engineering stack gives early moat,3.97,"Rui Aguiar (CEO)*
Noah Weber*",Conv #2 today,checked
Gradient Control,https://www.gradientcontrol.com/,"Boston, M, USA",United States 🇺🇸,2022,18,Advanced manufacturing pilots semiconductor labs,Applied AI for real time process control grounded in physics,Very early stage limited commercial deployments,CAD,Design,Concept Modeling,Closed Loop Process Control,AI Driven Process Control,"Prescriptive Control,Physics Informed AI","cloud-native,SaaS,B2B,Platform,Software,enterprise,Subscription","Physics Grounded ML,Closed-loop Automation,Semiconductor,Physics Grounded Models,AI for systems engineering,Autonomous Optimization",Discrete Manufacturing,Semiconductors,Design Intelligence (CAD),Generative CAD & Geometry,Startup Raisers,Seed,Seed Stage,2023,$2000000.0,$2000000.0,$1000000.0,$10000000.0,New control/automation or AI‑controls venture; seed‑stage.,Bootstrapped,4.0,High value manufacturing processes need tighter autonomous control,3.6,Strong technical founding team with control theory background,4.4,Directly integrates AI into control loops not just analytics,4.3,Very capital efficient early research driven team,3.1,Pilot projects with limited scale so far,3.7,Signals shift toward autonomous manufacturing control,3.6,Physics grounded control logic creates defensible IP,3.91,Blake Courter**,,checked
RD8,https://www.rd8.tech/,Copenhagen,Denmark 🇩🇰,2021,35,Medical device OEMs industrial product manufacturers automotive companies,Deep robust design methodology expertise CAD-native tolerance analysis software experienced founding team with 40 plus years combined expertise,Small team size limited brand awareness outside Europe early-stage product adoption,CAE,Design,Concept Modeling,Tolerance analysis and robust design,Engineering design software,,"B2B,SaaS,cloud-native,Platform,Industry-specific,Plugins for CAM Software,enterprise,Subscription","Rugged Design,Kinematics,Consulting Spinout",Discrete Manufacturing,"Aerospace & Defense,Industrial Equipment",Design Intelligence (CAD),Engineering Copilots & Automation,Startup Raisers,Bootstrapped,Bootstrapped,2021,$0.0,$0.0,$0.0,$5000000.0,"Early engineering/manufacturing SaaS; no public funding/ARR, so seed‑stage band.",Bootstrapped,3.5,Medium growth opportunity in regulated industries like medical devices automotive and industrial products where tolerance and quality are critical,4.0,Founding team with M.Sc. mechanical engineering and 40 plus years experience delivering consulting and software tools,4.5,Strong differentiation through CAD-native robust design methodology combining tolerance stack-up detection with kinematic constraint analysis,3.5,Bootstrapped with no dilution indicating sustainable business model,4.0,Steady growth in enterprise adoption among medical device and automotive clients,3.5,Significant impact for regulated and high-volume manufacturing enabling right-first-time design and reducing costly iterations,3.7,"RD8 positions itself as a provider of AI-powered industrial inspection solutions, leveraging proprietary computer vision and machine learning models for defect detection and quality assurance (About and Technology pages, accessed March 2026). While the company highlights its custom AI models and integration with existing manufacturing workflows, similar AI inspection platforms exist, and there is no public evidence of patented technology or exclusive partnerships; thus, its moat appears moderate and based on differentiated implementation rather than unique IP.",3.86,"Allan Lester Kierkegaard**
Niels Sorensen**",,checked
TimeSeer,https://www.timeseer.ai/,"Vienna, Austria",Austria 🇦🇹,2022,12,Industrial pilots utilities,Flexible time series data access and contextualization,Very early commercial traction,Industrial Analytics,Operations,MES / Factory Execution,Time Series Data Platform,Industrial Time Series Access,"Query First Architecture,Contextualization","API-first,B2B,Platform,Industry-specific,enterprise,Software","Contextualized Industrial Data Graph,Unified Industrial Time Series Layer,flexible cloud-native setup,Architecture Level Innovation",Discrete Manufacturing,"Energy,Utilities","Factory Futures (MES, IIOT)",Industrial Data Infrastructure & IIoT Connectivity,Startup Raisers,Seed,Seed Stage,2023,$6000000.0,$10300000.0,$1000000.0,$10000000.0,"Time‑series data quality/monitoring for industry; small, specialized SaaS.",Bootstrapped,3.7,Time series sprawl is a growing pain point,3.4,Small but technically strong founding team,4.0,API driven abstraction over legacy historians,4.1,Very lean early stage execution,3.0,Pilot heavy limited scale deployments,3.8,Enables faster industrial analytics development,3.8,Architecture level stickiness once embedded,3.70,"Bert Baeck*
Jeroen Hoekx",,checked
SyncTwin,https://www.synctwin.app,"Ulm, Germany",Germany 🇩🇪,2024,2,Manufacturing SMBs Factory planners,Accessible digital twin for small medium manufacturers,Reliant on Omniverse nascent app ecosystem,Digital Twin,Manufacture,Digital Twin Sync,Digital Twin,Digital Twin,Digital Twin Platform,"SaaS,SMB,Platform,B2B,Industry-specific,Cloud,Software,Product-led growth","Digital Twins,OpenUSD Support,MES & MOM,Integration with existing engineering tools","Discrete Manufacturing,Process Industries,Construction","Job Shops,Logistics,Food & Beverage,Automotive,Industrial Equipment,Builders,Owner/GC","Cognitive Thread (PLM, MBSE, DT)",Simulation-Centric Digital Twins,Startup Raisers,Bootstrapped,Bootstrapped,2024,$0.0,$0.0,$1000000.0,$10000000.0,"Factory/ops digital‑twin SaaS; modest customer base, no big rounds disclosed.",Bootstrapped,3.3,Omniverse integration Excel PPT compatibility,4.2,Experienced engineering team,3.6,OpenUSD AI optimization,3.2,Efficiency savings validated ROI,3.9,Strong industry access but early stage,4.0,Building moat with Omniverse ecosystem,4.0,"SyncTwin’s website (About, Product, and Technology pages, accessed March 2026) highlights its proprietary digital twin platform for manufacturing, featuring AI-driven simulation and optimization, and integration with major MES/ERP systems; however, similar digital twin solutions exist from established competitors (e.g., Siemens, Dassault Systèmes), and no explicit claims of unique IP, patents, or exclusive partnerships are documented publicly.",3.69,Michael Wagner*,"Need to contact, comment, MontBlancAI",checked
Taiyaki,https://taiyaki.ai/,"San Francisco, CA, USA",United States 🇺🇸,2024,10,"Direct-to-consumer, early-stage pilot users","Ex-Apple, ex-Stanford founders; AI-powered text/image-to-3D pipeline; delivers both files and prints; instant prototyping for hobbyists and SMBs","Small team; early-stage, limited enterprise partnerships; product-market fit in progress",CAD,Design,Concept Modeling,"AI Generative Design, Print-on-Demand","Consumer/SMB Product Design, Rapid Prototyping","Generative CAD,no-code,Text Prompt-based Geometry,3D printing innovation,AI 3D Generation","SaaS,SMB,Self-Service,B2B,Subscription,Product-led growth,Software,Cloud","AI-driven design generation,Text-to-CAD Generation,No-code builder for MES,Generative Modeling,Instant Quote Workflow,Fast concept-to-manufacturing loop,Early AI-native CAD,Deep learning CNC ops AMRC partnership",Discrete Manufacturing,"Job Shops,Academia",Design Intelligence (CAD),Vertical & Domain Specific CAD,Startup Raisers,Seed,Seed Stage,2025,$0.0,$0.0,$2000000.0,$50000000.0,"Very early, DTC/pre-B2B revenue",Bootstrapped,4.2,"Rapid growth in consumer/small-batch prototyping, rising demand for no-code 3D tools",3.7,"Top engineering/design backgrounds, fast iteration; tiny team",3.2,"Text/image-to-3D model pipeline to both digital and physical output, not just STL files",3.9,"Lean, two-founder team; efficient go-to-market",3.4,Strong launch/community buzz but early in scaling user base,3.6,Could democratize physical product prototyping for non-experts globally,3.5,"First-mover, deep UX, technical complexity; but risk of fast followers",3.68,"Amy Zhou*
Elena Wagenmans (CEO) *",,checked
Aixma,https://aixima.de/,"Regensburg, Germany",Germany 🇩🇪,2024,10,Sustainable Manufacturing,"Validated multi-physics FSI model for fracture control in CO2 pipelines, Claims blind validation against full-scale tests in 2022, Clear niche around CCS transport integrity assessment","Very niche initial market, No public pricing or customer logos, Unclear commercialization beyond consulting/services",Simulation,Simulate,Simulation Loop,N A,"Carbon Capture And Storage, CO2 Transport, Pipeline Integrity, Multi-Physics Modeling, Fracture Control","Validated Full-Scale Testing,Physics-Based Modeling Plus AI","B2B,Industry-specific,Software,enterprise","validated environment,Multi-Physics Models",Natural Resources,"General Contractors,Mining",Bleeding Edge BIM (AEC/BIM),Surrogate & ML-Accelerated Simulation,Startup Raisers,Bootstrapped,Bootstrapped,2025,$0.0,$0.0,$0.0,$0.0,No public funding disclosed on the company site and no reliable funding sources found in this run,Bootstrapped,3.6,CCS and CO2 transport integrity is a growing need and the company targets a clear pain point in fracture control for pipelines,3.4,Founders are clearly identified with deep technical credentials but company scaling history is not publicly evidenced,4.2,Core differentiation is validated multi-physics FSI modeling claimed to outperform code based semi-empirical standards,4.0,"If bootstrapped, the approach appears capital efficient but business model and margins are not public",2.8,"No public revenue, deployments, or customer references were found beyond validation testing claims",3.7,Improved fracture control and re-qualification could materially impact safety and cost of CO2 transport infrastructure,3.3,Potential moat in validated models and domain expertise but limited public IP or platform lock-in evidence,3.66,"Aida Noon
Philipp Marx",,
Orthogonal,https://www.orthogonal.io,"London, UK",United Kingdom 🇬🇧,2023,12,No public clients,Software for medical device design and compliance,Limited commercial visibility,Engineering AI,Design,Concept Modeling,Regulated software optimisation,Regulated software optimisation,"Compliance Tools,Validation,Simulation","Software,B2B,Industry-specific,enterprise,SaaS","Purpose built for med-device regulatory workflows,FDA Alignment,Regulatory Readiness,validated environment,compliance orientation",Discrete Manufacturing,"Hospitals,Medical Devices",Design Intelligence (CAD),Engineering Copilots & Automation,Startup Raisers,Bootstrapped,Bootstrapped,2024,$0.0,$0.0,$1000000.0,$4000000.0,New engineering/AI tool (distinct from legacy med‑device Orthogonal); treated as seed‑stage.,Bootstrapped,3.5,Rising demand for SaMD development tools,4.0,Compact team with domain depth,3.8,Compliance-driven solver approach,3.0,Minimal capital required to date,3.0,Early partnerships emerging,3.9,Could streamline regulated development cycles,3.5,Limited competition but small footprint,3.58,Dr.-Ing. Yang Ji*,,checked
